Student Id,Country Code, Enrolled Year, Age, Gender,Experienced, Course Code, Engagement Month, Engagement Year,Engagement Type
1,GB,9,2020,71,F,true,JMC,AUGUST,2024,Lecture 14
1,GB,9,2020,71,F,true,PYMC,JULY,2021,Lecture 9
2,US,3,2020,64,M,true,JMC,FEBRUARY,2024,Lecture 3
2,US,3,2020,64,M,true,PYMC,FEBRUARY,2024,Lecture 3
3,GB,12,2024,53,U,false,JMC,MAY,2024,Lecture 3
3,GB,12,2024,53,U,false,PYMC,MAY,2024,Lecture 7
4,GB,1,2023,62,M,false,JMC,MAY,2024,Lecture 14
4,GB,1,2023,62,M,false,PYMC,JUNE,2024,Lecture 13
5,GB,9,2019,87,F,false,JMC,MAY,2023,Lecture 13
5,GB,9,2019,87,F,false,PYMC,JULY,2022,Lecture 12
6,US,4,2021,18,U,false,JMC,SEPTEMBER,2021,Lecture 3
6,US,4,2021,18,U,false,PYMC,NOVEMBER,2021,Lecture 11
7,CN,12,2015,23,F,false,JMC,MAY,2015,Lecture 7
7,CN,12,2015,23,F,false,PYMC,OCTOBER,2018,Lecture 7
8,US,12,2022,65,M,false,JMC,NOVEMBER,2022,Lecture 10
8,US,12,2022,65,M,false,PYMC,DECEMBER,2023,Lecture 5
9,IN,2,2017,56,U,true,JMC,MAY,2017,Lecture 9
9,IN,2,2017,56,U,true,PYMC,FEBRUARY,2020,Lecture 14
10,US,6,2023,74,F,true,JMC,MARCH,2024,Lecture 14
10,US,6,2023,74,F,true,PYMC,SEPTEMBER,2024,Lecture 13
11,IN,2,2022,66,M,true,JMC,FEBRUARY,2023,Lecture 2
11,IN,2,2022,66,M,true,PYMC,MARCH,2022,Lecture 6
12,AU,11,2018,70,U,true,JMC,JULY,2018,Lecture 8
12,AU,11,2018,70,U,true,PYMC,OCTOBER,2022,Lecture 2
13,GB,10,2016,47,F,false,JMC,NOVEMBER,2020,Lecture 14
13,GB,10,2016,47,F,false,PYMC,APRIL,2019,Lecture 14
14,CN,5,2016,52,M,false,JMC,NOVEMBER,2016,Lecture 3
14,CN,5,2016,52,M,false,PYMC,NOVEMBER,2020,Lecture 8
15,AU,1,2022,36,M,true,JMC,MARCH,2024,Lecture 11
15,AU,1,2022,36,M,true,PYMC,JUNE,2022,Lecture 8
16,IN,9,2020,37,F,true,JMC,SEPTEMBER,2023,Lecture 11
16,IN,9,2020,37,F,true,PYMC,FEBRUARY,2022,Lecture 5
17,IN,6,2017,40,F,false,JMC,FEBRUARY,2022,Lecture 2
17,IN,6,2017,40,F,false,PYMC,NOVEMBER,2024,Lecture 7
18,AU,7,2020,49,U,false,JMC,OCTOBER,2023,Lecture 11
18,AU,7,2020,49,U,false,PYMC,MAY,2023,Lecture 8
19,CN,9,2016,26,U,true,JMC,JUNE,2016,Lecture 11
19,CN,9,2016,26,U,true,PYMC,MARCH,2020,Lecture 6
20,CN,8,2017,45,M,true,JMC,SEPTEMBER,2018,Lecture 8
20,CN,8,2017,45,M,true,PYMC,APRIL,2021,Lecture 6
21,AU,7,2021,87,F,true,JMC,JUNE,2024,Lecture 4
21,AU,7,2021,87,F,true,PYMC,JULY,2021,Lecture 13
22,CN,6,2018,54,M,true,JMC,MARCH,2020,Lecture 5
22,CN,6,2018,54,M,true,PYMC,MAY,2018,Lecture 7
23,CN,10,2022,30,M,true,JMC,OCTOBER,2023,Lecture 1
23,CN,10,2022,30,M,true,PYMC,MARCH,2023,Lecture 5
24,AU,12,2020,67,F,true,JMC,FEBRUARY,2022,Lecture 10
24,AU,12,2020,67,F,true,PYMC,OCTOBER,2020,Lecture 1
25,CN,3,2022,47,M,false,JMC,AUGUST,2023,Lecture 13
25,CN,3,2022,47,M,false,PYMC,APRIL,2023,Lecture 4
